"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 200","14,402.10","14,468.75","14,266.90","14,421.05","14,306.95","-","-114.10","-0.79","3,62,50,26,713","62,227.25","14,700.95","11,941.45","-0.24","7.27"
"NATIONALUM","330.85","349.40","328.85","333.50","349.00","-","15.50","4.65","2,87,44,580","990.11","357.60","137.75","31.02","70.30"
"HINDZINC","588.15","612.20","588.15","590.75","608.60","-","17.85","3.02","1,07,79,863","653.18","656.35","378.15","23.40","36.65"
"OIL","412.00","425.30","412.00","409.95","419.50","-","9.55","2.33","31,22,912","131.12","494.55","325.00","4.52","-14.57"
"COROMANDEL","2,271.20","2,318.30","2,250.00","2,271.20","2,315.80","-","44.60","1.96","3,26,503","75.20","2,718.90","1,596.00","-2.52","19.13"
"ASHOKLEY","184.10","190.76","183.90","184.52","188.10","-","3.58","1.94","2,54,10,790","479.53","191.80","95.93","17.66","-15.70"
"COFORGE","1,647.90","1,685.00","1,647.90","1,647.00","1,678.60","-","31.60","1.92","17,00,004","284.70","1,994.00","1,194.01","-10.24","-82.41"
"ASIANPAINT","2,789.90","2,856.70","2,786.20","2,786.50","2,838.90","-","52.40","1.88","16,57,381","468.93","2,985.70","2,124.75","1.06","21.04"
"MAZDOCK","2,490.00","2,607.00","2,489.00","2,480.40","2,509.90","-","29.50","1.19","41,52,262","1,058.14","3,775.00","1,918.05","0.46","15.99"
"ONGC","232.29","238.25","232.00","231.42","234.10","-","2.68","1.16","1,27,06,408","297.99","273.50","205.00","-2.40","-13.72"
"VEDL","603.00","615.30","602.35","603.50","610.10","-","6.60","1.09","1,08,39,255","661.95","629.90","363.00","18.15","36.62"
"ABB","5,050.00","5,138.00","4,983.50","5,021.00","5,074.00","-","53.00","1.06","3,29,338","167.32","6,717.95","4,684.45","-0.47","-23.49"
"HCLTECH","1,647.10","1,675.00","1,647.10","1,646.70","1,662.10","-","15.40","0.94","32,81,306","546.17","2,012.20","1,302.75","0.23","-14.02"
"INDUSTOWER","450.00","454.95","430.05","430.85","434.80","-","3.95","0.92","2,65,27,175","1,173.93","454.95","312.55","7.53","31.19"
"IGL","185.60","187.95","183.00","185.65","187.35","-","1.70","0.92","12,49,424","23.14","229.00","172.00","1.74","-54.15"
"AUBANK","993.00","1,006.05","990.10","992.10","1,001.00","-","8.90","0.90","11,97,452","119.79","1,026.80","478.35","2.79","76.40"
"MPHASIS","2,817.20","2,852.40","2,795.30","2,817.20","2,841.90","-","24.70","0.88","3,17,088","89.90","3,078.40","2,044.55","-1.41","-2.96"
"DABUR","518.70","525.55","516.10","519.45","523.70","-","4.25","0.82","15,22,552","79.40","577.00","433.30","3.73","1.68"
